Total 5343, already done 0, remaining 5343
[checkpoint] 25 done, 0 fail
[checkpoint] 1800 done, 1 fail
[checkpoint] 1825 done, 1 fail
[checkpoint] 1850 done, 1 fail
[checkpoint] 1875 done, 1 fail
[checkpoint] 1900 done, 1 fail
[checkpoint] 1925 done, 1 fail
[checkpoint] 1950 done, 1 fail
[checkpoint] 1975 done, 1 fail
[checkpoint] 2000 done, 1 fail
[checkpoint] 2025 done, 1 fail
[checkpoint] 2050 done, 1 fail
[checkpoint] 2075 done, 1 fail
[checkpoint] 2100 done, 1 fail
[checkpoint] 2125 done, 1 fail
[checkpoint] 2150 done, 1 fail
[checkpoint] 2175 done, 1 fail
[checkpoint] 2200 done, 1 fail
[checkpoint] 2225 done, 1 fail
[checkpoint] 2250 done, 1 fail
[checkpoint] 2275 done, 1 fail
[checkpoint] 2300 done, 1 fail
[checkpoint] 2325 done, 1 fail
[checkpoint] 2350 done, 1 fail
[checkpoint] 2375 done, 1 fail
[checkpoint] 2400 done, 1 fail
[checkpoint] 2425 done, 1 fail
[checkpoint] 2450 done, 1 fail
[checkpoint] 2475 done, 1 fail
[checkpoint] 2500 done, 1 fail
[checkpoint] 2525 done, 1 fail
[checkpoint] 2550 done, 1 fail
[checkpoint] 2575 done, 1 fail
[checkpoint] 2600 done, 1 fail
[checkpoint] 2625 done, 1 fail
[checkpoint] 2650 done, 1 fail
[checkpoint] 2675 done, 1 fail
[checkpoint] 2700 done, 1 fail
[checkpoint] 2725 done, 1 fail
[checkpoint] 2750 done, 1 fail
[checkpoint] 2775 done, 1 fail
[checkpoint] 2800 done, 1 fail
[checkpoint] 2825 done, 1 fail
[checkpoint] 2850 done, 1 fail
[checkpoint] 2875 done, 1 fail
[checkpoint] 2900 done, 1 fail
[checkpoint] 2925 done, 1 fail
[checkpoint] 2950 done, 1 fail
[checkpoint] 2975 done, 1 fail
[checkpoint] 3000 done, 1 fail
[checkpoint] 3025 done, 1 fail
[checkpoint] 3050 done, 1 fail
[checkpoint] 3075 done, 1 fail
[checkpoint] 3100 done, 1 fail
[checkpoint] 3125 done, 1 fail
[checkpoint] 3150 done, 1 fail
[checkpoint] 3175 done, 1 fail
[checkpoint] 3200 done, 1 fail
[checkpoint] 3225 done, 1 fail
[checkpoint] 3250 done, 1 fail
[checkpoint] 3275 done, 1 fail
[checkpoint] 3300 done, 1 fail
[checkpoint] 3325 done, 1 fail
[checkpoint] 3350 done, 1 fail
[checkpoint] 3375 done, 1 fail
[checkpoint] 3400 done, 1 fail
[checkpoint] 3425 done, 1 fail
[checkpoint] 3450 done, 1 fail
[checkpoint] 3475 done, 1 fail
[checkpoint] 3500 done, 1 fail
[checkpoint] 3525 done, 1 fail
[checkpoint] 3550 done, 1 fail
[checkpoint] 3575 done, 1 fail
[checkpoint] 3600 done, 1 fail
[checkpoint] 3625 done, 1 fail
[checkpoint] 3650 done, 1 fail
[checkpoint] 3675 done, 1 fail
[checkpoint] 3700 done, 1 fail
[checkpoint] 3725 done, 1 fail
[checkpoint] 3750 done, 1 fail
[checkpoint] 3775 done, 1 fail
[checkpoint] 3800 done, 1 fail
[checkpoint] 3825 done, 1 fail
[checkpoint] 3850 done, 1 fail
[checkpoint] 3875 done, 1 fail
[checkpoint] 3900 done, 1 fail
[checkpoint] 3925 done, 1 fail
[checkpoint] 3950 done, 1 fail
[checkpoint] 3975 done, 1 fail
[checkpoint] 4000 done, 1 fail
[checkpoint] 4025 done, 1 fail
[checkpoint] 4050 done, 1 fail
[checkpoint] 4075 done, 1 fail
[checkpoint] 4100 done, 1 fail
[checkpoint] 4125 done, 1 fail
[checkpoint] 4150 done, 1 fail
[checkpoint] 4175 done, 1 fail
[checkpoint] 4200 done, 1 fail
[checkpoint] 4225 done, 1 fail
[checkpoint] 4250 done, 1 fail
[checkpoint] 4275 done, 1 fail
[checkpoint] 4300 done, 1 fail
[checkpoint] 4325 done, 1 fail
[checkpoint] 4350 done, 1 fail
[checkpoint] 4375 done, 1 fail
[checkpoint] 4400 done, 1 fail
[checkpoint] 4425 done, 1 fail
[checkpoint] 4450 done, 1 fail
[checkpoint] 4475 done, 1 fail
[checkpoint] 4500 done, 1 fail
[checkpoint] 4525 done, 1 fail
[checkpoint] 4550 done, 1 fail
[checkpoint] 4575 done, 1 fail
[checkpoint] 4600 done, 1 fail
[checkpoint] 4625 done, 1 fail
[checkpoint] 4650 done, 1 fail
[checkpoint] 4675 done, 1 fail
[checkpoint] 4700 done, 1 fail
[checkpoint] 4725 done, 1 fail
[checkpoint] 4750 done, 1 fail
[checkpoint] 4775 done, 1 fail
[checkpoint] 4800 done, 1 fail
[checkpoint] 4825 done, 1 fail
[checkpoint] 4850 done, 1 fail
[checkpoint] 4875 done, 1 fail
[checkpoint] 4900 done, 1 fail
[checkpoint] 4925 done, 1 fail
[checkpoint] 4950 done, 1 fail
[checkpoint] 4975 done, 1 fail
[checkpoint] 5000 done, 1 fail
[checkpoint] 5025 done, 1 fail
[checkpoint] 5050 done, 1 fail
[checkpoint] 5075 done, 1 fail
[checkpoint] 5100 done, 1 fail
[checkpoint] 5125 done, 1 fail
[checkpoint] 5150 done, 1 fail
[checkpoint] 5175 done, 1 fail
[checkpoint] 5200 done, 1 fail
[checkpoint] 5225 done, 1 fail
[checkpoint] 5250 done, 1 fail
[checkpoint] 5275 done, 1 fail
[checkpoint] 5300 done, 1 fail
[checkpoint] 5325 done, 1 fail

DONE: 5342 ok, 1 fail → C:\Users\antonio\Desktop\PTCG\ptcg-game\server\data\audit\std-full.json
Images in: C:\Users\antonio\Desktop\PTCG\ptcg-game\server\data\std-images
